Apatani,English
pagi gii,to carry a debt; to be in debt
pagi yarii,(Zool
pagi yaru,Common hoopoe (Upupa epops)
pagii,to take someone along with oneself to cut/strike something with a blade
pagvr,build or repair bundhs
pagvr pwlo,second lunar month of the year; February
pagya,to cut or strike wrongly with a machete or sword
pahe,pledge a property to the creditor as a security
pahe,make a dent by cutting
pahin,[pa´hi] n
pahin koniin,koniin n
pahin payin,payin vt
pahin payu,payu n
pahiñ,liver
pahu,to lit a fire
pai,to get
pai giirii,"variety of *giirii snare made of bamboo to catch small passerine birds, mostly in paddy fields, such as White Wagtails (*aji pai piita)"
pai lamu,(Bot
pai-paca,a large cane basket
pai’,get
paja,having edges that are jagged from injury; torn
paja’,torn; tattered
paje,(Zool
paje atu,duckling
paje’,duck
paji,two wheeler vehicle
paji ali,"wheel, as of a vehicle"
paka,dish; bowl; plate
paka turla,dishes; crockery; tableware
paka-pala,(of surface) uneven
pakañ,defer or postpone
pakañ,goose
paka’,depression; dent; trough
pake,cross; intersect; crisscross
pakha,to fail to cut/strike with a machete or sword
pakhe,(Agr
pakhii,to kill a person or an animal by hitting with a machete or sword
pakho sudu,variety of bamboo container used for smoke-drying spicy food
pakhu,(Zool
pakhu itu,name of a pre-harvest dance performed during *Dree festival
paki,bent; curved
paki’,bent; curved
pako,"element of the *babo mast, consisting of two wooden slabs (*rinyo pata) decorated with geometrical motifs with fine bamboo sheaves tied uniformly in between, which hangs from each tip of the *taper structure"
paku,(Zool
paku siima,part of the penalty imposed for the theft or killing of a cow or a mithun which is to be given to the owner
pakù,pigeon
pakù swma,fine in the form of a middle-sized mithun for stealing or killing a cattle
pakú,bent; twisted; crooked
pala,scale; weighing machine
palan tii'nga,tii'nga n
palan tiinga,tiinga n
palañ twqá,plum (prunus domestica)
pale mii,to do something in excess
pale nyiche,extra; abundant
palepa,"excessively, in excess"
pale’,excess; extra; surplus; remainder
pali,(Bot
palii,(Agr
palo,ritual element of sacrificial altars
palo-malo,world
palw’,de-weeding tool
palya-pacha,"to totter; to be unsteady on one's feet; to sway or stagger when walking, as when drunk"
palyi,to mend; to patch
palyo,patch; piece
palyo-pakho,old; worthless
palyu,(Zool
pamañ,bamboo rack in front wall of the house
pami,(Zool
pamii,to cut up or chop up into very small pieces with a machete or sword; to mince; to reduce to powder
pamu,"raptor, eagle or hawk"
pamw’,cut or chop into small pieces
pamyo,injury; incumberance
pamyo-taxo,injury; incumberance
pamí,chicken louse
pan,vt-r
pango-tango,(Bot
paniin,[pani] n
pano,sting
panyi,any bamboo/wooden stick used for household purpose or as walking stick
papa,to chop off with a machete of sword
papa’,cut off or chop off
pape,gap; intervening gap
papei,small gap or hole in a wall
papi,wood chip
papi apu,Hedychium flower 
papi ngiiyi,(Zool
papi pike,*pike using dried and generally fermented small fish such as *ngiiyi papi
papii,(Agr
papo,incomplete; not full
papu,egg
papu pu,to lay eggs
papu-pakhu,egg shell
papu-panii,variety of Apatani dish
papuu,white (esp. hen)
papù,egg
papù afò,egg white
papù hayañ,egg yolk
papù paxu,egg shell
papú,puffed grain
par,make or light fire; ignire fire
par,crawl under something; creep; wriggle
para,crawl in
parbo,crawl across
parda,straight; honest; linear; not bent
parda ho,at noon (when the sun is at its zenith)
pare,"(of small, grainlike objects/plots of land) one"
pare sala,"rare and coastly variety of sword, whose sharpness is greater than the ordinary type (*ilyo)"
pari,tree sparrow (Passer montanus)
pari-pagyo,"(of appearance, colour pattern, animal hue) mosaic-like"
pari-papu,water bubble (lit
parii,(Zool
pariibo,"opponent, esp"
pariñ,combinatin of two or more colors
parkho,(Agr
parkho hubur,(Agr
parko,to pierce/ make a hole by twisting or rotating
parkun,n:num
parliñ,crawl out
parmii,to crush into bits or powder; to grind into bits or powder
parmw’,grind in powder
parne,(of small and roundish objects/plots of land) how many
paro,poultry
paro amu,poultry plumage
paro lankha,bamboo platform where chicken sleep at night; poultry house
paro liigo,time when the rooster crows
paro lue,hen with her newly hatched chicks
paro pater,loosely-woven cane or bamboo container used for transporting chickens; chicken carrier; chicken cage 
paro piiri,"poultry house, chicken coop"
paro yagii,basket containing approximately five kilograms of paddy
paro yo,chicken meat
paro-pachu,chick
paro-pai,poultry dropping
paro-pakhii,(of fowls) entrails; giblets
paro-palya,half grown hen or cock
paro-pami,(Zool
paro-papu,white hen/fowl
paro-pater,loosely-woven cane or bamboo container used for transporting chickens; chicken carrier; chicken cage 
paro-paya,black hen; black fowl
paro-piiha,basket made of bamboo splits where chicks hatch
paro-rone,(of fowls) how many?
paro-ronii,hen
paro-ropo,cock; rooster
parohe,"old unit of measure used in barter transactions consisting of one hen, or the cost equivalent to one hen such as one small knife or several kilos of unhusked rice"
paro’,chicken; fowl
paro’ lañxa,poultry house
paro’ lopa,stick to drive away chickens
paro’ lwgo,time in the early morning when the cocks crow
paro’ pabya’,young chicken	{-var._	paro’ pwbya]
paro’ pai,"’
	/paroɁ pai/ n.	poultry dropping"
paro’ pamí,fowl flee
paro’ papù,chicken egg
paro’ papúu,white chicken
paro’ patvr,cage for chicken
paro’ paxw,entrails of chicken
paro’ pwha,basket of bamboo splits where chicks hatch
paro’ pwri,chicken coop
paro’ ro’nw,hen
paro’ ro’po,cock; rooster
paro’ sampya,fowl feeding tray
paro’ yagw,"medium sized basket for measuring quantity of paddy, roughly equivalent to five kilograms"
paro’ yo,chicken (meat)
paro’he,measure worth of a hen or paddy in a paro’ yagw; three persons which was the number of labourers hired with a hen or paro’ yagw full of paddy
parro,(of small and roundish objects) big
parsiñ,red jungle fowl (Gallus gallus)
particular,"of the bride price, which two selected persons belonging to the bride's close kin are entitled to receive"
parw,rotate
parw-molañ,a variety of shrub bearing reddish berries commonly found in bamboo gardens
parw’,Khaleej pheasant (Lophura leucomelanos)
parì-pagyò,mosaic like appearance
paser,to hang someone
paser binii,(Agr
paser giinii,guide; one who shows new ways or leads
pasher,extra
pasu,fight; quarrel
pasunii,one who quarrels or fights (unspecified)
pasvr,extra; remainder
pasù,needle
pata,wooden slab or flattened bamboo split
pata ude,house with split-bamboo roof
pata-pabya,spotted
patan ajin,ajin n
patan ajo,ajo n
patan ato,ato n
patañ,traditional labour gang
patañ ajo,hire a labaour gang
patañ áttò,a member of the labour gang in whose field it works on the day
pata’,bamboo split; flat object
pata’ ude,house with roof of bamboo split
pater,variety of loosely-woven cane or bamboo container used for storing smoked meat or confining poultry
patii,(Zool
patii ahi,tiger tooth
patu,cut something into two or more pieces
patu-papo,to hack; to cut someone or something into pieces with a machete or sword
patu’,sharp edged stump of bamboo or other tree
patu’,prison; jail
patu’ alw’,put in the jail; imprison
patvr,cage
patw,tiger (Panthera tigris tigris)
patw ahi,tiger tooth
patw riñbi,a variety of spider
pató hamañ,a variety of vegetable (Clerodendrum colebrookianum)
patúu-papo,hack something into several pieces
paxo,narrow channel in the wet rice cultivation fields
paxo’ sudu,a long bamboo container for smoking spicy food
paxu,shell; scale
paxu rudu’,rough; scaly
paxu’,partridge
paxu’ itú,a dance usually performed before harvest
paxw,kill by cutting
paxwñ,blunt a sharp weapon by cutting on a hard material
paxw’,late; delayed; overdue; behind schedule
paxw’,cut to break or fracture bones in a piece of meat
paxè,"mesh, which may be of wire, bamboo or cane; lattice"
paya,to attack; to quarrel
paya-pacho,thank you
paya’,attack; quarrel
paya’-gaaya’,attack; quarrel
paye,(Bot
payi pacha,variety of basket used as a measure
payu,glue usually of plant origin
payu lopa,long stick the end of which is covered with glue (payu)
payu sudu,bamboo container for glue (payu)
payu-yukho,larger bamboo stick coated with resine for catching birds
pazi’,small broken pieces of rice
pazi’ azi’,small rice grains that remain after sieving
paì,a variety of bird
paì tapi pwta,Scarlet Finch
pañ,cook by steaming in bamboo
pañxa,fan
pa’,suspend or hang something with a string
pa’ca,toss up
pa’ga,long supporting post on both sides of a traditional Apatani house
pa’kvr,encircle; surround; enclose
pa’lo,toss down
pa’po,a bamboo pole suspended horizontally on the side wall of the house for keeping clothes
pa’si,join two ropes together to increase the length
pa’svr,kill by hanging
pa’zi,"stick, usually used for support"
pe,switch; lever
pebe,to release something which has been under tension by pushing or flicking with tongs or fingers; to switch on/off
pebe’,release something (esp. which was under tension)
pebi,to distribute on someone's behalf/for someone
peca,a variety of wild apple	(Docynia indica)
peca sanw,tree of wild apple (Pyrus sp.)
pece,wrench something into two parts; pry something into two
pecha,(Bot
pecha sanii,variety of wild pear-tree (Pyrus sp
peche,"to break, esp"
pee,chant producing a characteristic sound “ho ho…”
peenw,ceremonial procession as a part of Murung festival
peko,confident
pembe,hailstone
pemi,"(of switch, etc"
pemi’,put off (light)
pen,vt-r
pen-,[pẽ] class
penchi,to achieve or complete something
pengu,(Zool
penii,"ritual procession taken out through villages during *murun festival of the *takun putu, *runtii and *yapun yalan types, in which young and old men go to other Apatani villages by forming a queue and chanting"
penii solindu,to form or go in a *penii procession
penji chiri,"variety of chiri sword, more valued than *hulu chiri"
penko,place for building a house
penkun,num
penne,(of houses and similar structures) how many
pennge,(of buildings/stanzas of *ayu songs) one
penniin,[pẽni] n
pennyo,(of houses and similar structures) small
pensa,(of two or more house or similar structures)
pensu,"to build (a house, granary, etc"
pepe siire,confident
pepo-pelo,excessive; extravagant; showy
pepu,(Bot
pepu tabu,(Zool
pepu’,mat; reed used for making mats (Phragmites karka)
pepu’ tabú,bedbug (Cimex lectularius)
pepó-pelò,extravagant; lavish
pequ,a variety of bird; great barbet (Megalaima virens)
per,to fold
per-,"small, grain-like thing"
perba,"to fold a piece of paper, tissue or cloth so that the two sides overlap"
pere,bamboo mat used for sun-drying things (such as maize)
perki,"to fold, as paper"
perko,to unfold
perlyan,n:num
perlyanhe,"1,2,3,4,5,6,7,8,9,10 small and roundish object(s), plot(s) of land, etc"
perne,"(of small and round objects such as beads, particles of soil) how many"
pernyo,"(of small and round objects such as beads, particles of soil) small"
pero,"(of a house, granary or similar structure) spacious; roomy"
perro,"(of small and round objects such as beads, particles of soil) big"
persa,"(of two or more small, grain-like things)"
perun,[pe´rũ] n
perun yanii,yanii n
peruñ,bean
peruñ yaanw,fermented soybean
pesu,(Zool
pesu’,hornbill
peti’,belt
petú,break something into two or more pieces
pexó,a variety of bird
peyi,"to insert; to put in, esp"
peñ,mature; come of age; be full-grown
peñ,bequeath
peñ,build; construct
peñbe,snow
peñci ajiñ,a variety of traditional friend
peñgu,warm
peñji ci’ri,a variety of valued sword
peñko,intermediate position; middle
pe’,lay a trap; entrap; ensnare
pe’,tuck something in; insert
pe’kó,"smart, of a person; strong, of taste"
pi,slice or saw
piba,(of a plural subject) to make/build/manufacture/create together
pick tu,to push; to shove
