Apatani,English
arko-nanii,wooden lock of a door
arkó,latch; fasten; bolt; lock
arle,"hard to chew or eat; firm, as overcooked meat"
arlv,hard; firm; rigid; strong
arme,term of address used reciprocally by two persons having the same name
armin,adj
armiñ,ripe
armyan,[ar´mjã] n
armyañ,name  var.  amyañ
armyun,vi-r
armyuñ,grow (as an offshoot)
arna,"particular cut of meat of the pig sacrificed for *Myoko, consisting of a strip of skin and fat cut from the base of the neck, running through the middle of stomach till the posterior end"
arnii,to swallow
arnw’,swallow; gulp down; ingest
arná,choke
aro,morning
aro kapa,Aya!
aro konchi,early morning; dawn
aro pacho,Thank you
aro yama,poor people
aroja,poorest
aroya,poorer; becoming poorer
aro’,lucky
aro’ paco,expression of happiness; thank you
arpe,raw meat
arpii,(Agr
arpu,group
arpw,bamboo crossbeam of a fence
arrò,"vein, artery, nerve, tendon"
arta,portion; part
artahe pa,for a time; temporarily; for the time being
arta’,portion; segment; section
artin ku,ku vcn
artiñ,scrotum
artiñ bwliñ,testicle
artiñ ku,castrate
artu,(Anat
artù,gizzard (of a bird)
aru,coarse (not fine)
aru mii,to weed
arun,[arũ] n
arun so,so advphr
arun-are so,so advphr
aruñ,be possessed  (esp. by evil spirits)
aruñ,near; close by
aru’,outer covering of bean or corn
arww,bundle (esp. of bamboo)
arww,horn (anatomical)
ará,empty; vacant; void
arè,loose; not fixed tightly or firmly
arì,demarcate; delimit; delineate
arí,price; cost; charge
arí,string together (beads)
arí-apw,neighbourhood; locality
aríi,border; boundary
arò,morning; daybreak
arò dafi,forenoon
arò koñci,dawn
arò-apiñ,meal in the morning; breakfast
aróo,poor; destitute
as,of the marriage ceremony
asa,(esp
asan,[a´sã] n
asañ,north
asañ,laud; praise; extol
ase,"to wash, esp"
ase-ape,careless
aser,"thin, sharp piece of wood or bamboo; splinter asho See: aso"
asi,(of an animal) den; lair; nest
asi-asi,"(of a plural subject) to come continuously and regularly, one by one"
asii,line
asin,[asi] vt-r
asiñ,feed (esp. liquid food)
asi’,nest; lair; den
aso,"one of the two subdivisions, halves or moieties of the Apatani society, each comprised of several villages"
aso piila,to seek support
asoo,party; group; gang; supporter
asorit,surprising; amazing; startling
asu,to cough
asu-asa,dishonour; disgrace; shame
asu-asapa,fruitlessly; in vain
asubo,the lazy one (specified)
asuja,laziest
asunii,lazy person (unspecified); one who is lazy
asuya,lazier
asu’,sneeze
asu’,dud crop; fuitless; unproductive
asu’-asa’,disgrace; shame
asvr,splinter (of wood)
asw,line; long narrow mark
asw’,bite
asè,wash; clean
asó,length
ata,aunt (term of address)
atabo,"term used by a male speaker for referring to an elder sister, real or classificatory"
atan,class ho ajadoku ha?
atan si,si dem
atan simi,simi dem
atan so,so pron
atan sokii,sokii pron
atañ,group; crowd
ata’,stinger (on a bee)
ate,elder brother (term of address)
ate-ata,elders
atebo,"term of reference for an elder brother, real or classificatory"
atii,to keep; to put; to store
atiibi,to keep/store something for someone
atiiniin,[a´ti:ni] n
atiñ,block; choke; plug; obstruct; close
ato,grandfather or father in law (term of address)
ato-ato,selves; own; selves; our/your/their own
ato-ayo,grandparents
ato-mi,"relatives and non-relatives (guests, outsiders, etc"
atobo,father-in-law (term of reference)
atoka,self; own
attu’,close  or block (esp. a hollow container)
attu’ nanw,lid used for closing a container
attè,thick (of a liquid)
atu,(Anat
atu sanii,small tree; shrub
atu-kahe,size (how big or small something is)
atu-nanii,cork; lid
atuja,smallest
atuya,smaller
atw’,keep; store; retain; hold on to
atú-kahè,size
atúu,progeny; young; offspring
atúu,small; tiny; little; miniature  [n.  baby animal]
au,"body, esp"
au giigya,(Anat
au’,traditional red cane belt
au’ gwgyá,waist
away hikhan,[hi´xã̃]  n:num
aw’,forget
axa-ayá,burning sensation
axe’,kidney
axoo,entangled (hair)
axor,letter
axu’,regurgitate
axw,guts; entrails; viscera
axw,comb
axw har,have loose motion
axw harnwñ,diarrhea
axw sáa,have loose motion
axw ácì,stomach pain
axw-ere’,entrails; viscera
axwñ-amw,confused; disconcerted; befuddled; dumbfounded
axw’-pata’,"ribs, rib cage"
axáa,old; aged; elderly
axáa tayú,mature; elderly
axóo,head; leader; principal
axóo,stalk; stem
axóo pèeruñ,a variety of bean
aya,good; beautiful; virtuous; righteous; suitable; appropriate
aya kacho,quality (how good or bad something is)
aya-kaco,quality; condition
ayadu,Aya!
ayaja,best; the best
ayanii,one who is good or right; good one; right one (unspecified)
ayaniibo,the good/right one (specified)
ayapa,well; nicely
ayaya,better
aya’,flesh
ayi,raw (as opposed to cooked)
ayi-acha,to pay a visit
ayi-aju,weight
ayija,heaviest
