English,Apatani
crack (in bund),dego
"crack (in glass, mirror)",yalo
"crack (in rock, wall, floor)",gorgi
crack (jokes),so
crack (with an axe or a hoe),ta
crack (wood),bekho
crack of dawn,konchi
crackle (fire),buji-buji hon
crassocephalum crepidioides,genda haman/halyan haman.
crawdad,tasin/tashin
crawl,gu
crawl (snake),lyi
crawl across,gubo
crawl across (snake),lyibo
crawl through the thicket,par
created,punii/piinii
created thing,punii/piinii
creator (unspecified),piinii/pinii-punii
creator (specified),piiniibo/pinii-puniibo
creature,punii/piinii
creep (plant),man
creeper (generic),taru
creeping fern (cyclosorus glandulosus),riji
crevice,gorgi
creeping woodsorrel (oxalis corniculata),khuyi haman/o haman/hako haman
crisis,hache/hache siire
crispy,giire
crisscross,leko
crooked,sulyi-sume
cross,bo
cross hatch,leko
cross sign (used as a warning sign),lako
crossed (legs),pake
cross-eyed,ami horlyi
crossed-legged,pake
crossroad,lembya-leran
crowbar,dachan piilo
crowd,bun
crowd into,bunnga
crown of the hair,harkhii (Hi)/hakhii
crucian carp (carassius carassius),lanchan ngiiyi
cruel,kiinyi
crumble,giiyi
crunchy,giire
crush,par
crush (into bits/powder),parmii
crush (in the soil with the foot),chaban
crush (something underfoot),nyata
crush (with hands),ke
cry (along with someone),khebo
cry (result),-khe
cry out,magu
crying,khenii
cuckoo (cuculus saturatus),tiip pii pii piita
cucumber plant (cucumis sativus),taku sanii
cucumber,taku
cucumber (medium-sized),salun
cucumber seed,taku-kuli
cucumber tendril,taku rila
cuddle,poi
cuddle,go
cuddlesome,poi
cuddly,poi
cuon alpinus,siipya
cup,turla
curly hair,tiikhii/tiikhii-tiilyi
curse,begya-tagya
curse,din
curved,paki/pakii
cut (by striking with a blade),pa
cut (bamboo to sharpen it),nyar
cut (bamboo or log with a blade by giving a blow almost perpendicular to it),po
cut (bamboo section so as to make a container),po
"cut (standing bamboo, tree, etc., with a blade, by giving a blow almost parallel to it)",khen
cut (cylindrical/rounded shaped objects),por
cut (by an inward motion of the blade towards oneself),gya
cut (with an axe or a hoe),ta
cut (with scissors),che
cut (legs or ears of killed animals),khu
cut (meat),har
cut (with a machete or sword),pa
cut (millet leaves at the time of their transfer from nursery to fields),rii
cut (the ear of a cereal plant with a sickle),pi
cut (down standing herbage or grass),te
cut (a speech into two parts),luche
cut (bamboo or log slantingly),polyo
cut (intentionally with a machete or sword),padin
"cut (with a machete or sword, in an upward motion)",pacha
"cut (by striking with a blade, so as to divide something)",pache
cut oneself,miipo
cut oneself (result),-po
cyathea gigantea,tase
cyclosorus glandulosus,riji
cylindrical object,abu
cyprinus carpio,ngiiyi
cysticercus,talyun
damage,miiduniin
damage/destroy by blowing,hedu
damage/destroy by cutting with a blade,jodu
damage/destroy by striking with a machete or sword,padu
damage/destroy by striking with an axe or a hoe,tadu
dandelion (taraxacum sp.),kochi haman
dare (to do something),sape
darjeeling slender snake (trachischium fuscum),tahi
dark (complexion),piikhe
dark red,nu
darkness,kamo
darjeeling oak (quercus lamelosa),subu mitin
daughter-in-law,amii
dawn,alo lo
dawning,loniin
day after tomorrow,rida
day after tomorrow morning,rida aro
day after tomorrow evening,rida alyin
day after tomorrow night,rida ayo
dead body,siima
deaf,rubi/yaru-rubi
deceiver,surudonyo
december,kume piilo
deep,uran/aran
defective,byanii
defend,-ter
defend one's opinion,luter
