English,Apatani
tsuga dumosa,liiri piisa/niiri piisa
tuck something in,pe
tumble down,huyi
turkey berry (solanum torvum),byako
turn (by rolling),bahii
turn back (esp. by vehicle),kohii
turn (head),mohii
turn into,lyigu
turn upside down,bakhe
turn thread around itself to form a ball,lin/alin
turning point,hache
turtle,raku (Hi)/(samin) rako (Bu)/(samin) ranko (Bu)/samin raku
tusk,hirun
twaddle,hola
twelve,alyan hela anyi/alyan le nyi
twelth lunar cycle of the year,kume/nenke piilo
twenty,nyekhan/nyikhan
twice,ronyi/ronye
twig,yakho
twilight,alyin jimi jama
twinkle,kiibyo
twin,bupyun
twist (one's leg around something),liike-liibe
twisted,parkhii
two times/twice,ronnyi/ronnye
two days ago,kolo
two nights ago,koyo
two years ago,konyan
two years hence,lonyanda/lonyada
typical,lyagya
ugly,karu
umbilical cord,khiinii
unbolt,khiiko
uncomfortable,ahi-are
uncle (maternal),aku
uncle (paternal),ate
uncoil,karpya
uncomfortable (feeling),ahi-are
uncultivated plain land,piro
underarm,gorkhan
underside,biipii
understand,hender
understand (what one hears),tader
understanding,hela
undiscreetly,kadoliili
undulating,yoyu
uneven (shape),kolyo
uneven (surface),paka-pala
uneven (terrain),kutu
uneasy (person),hensi-henga
undo/untie something,miipya
unfasten a knot,tapya
unfasten a lock,heko
unfathomable,tagyan
unfurl,tor
unhappy,heru
"unhappy (face, look)",moyu
unload,kulo
unload (something by dropping it energetically on the ground),batin
unload (something that is being carried),jolo
unlock,hepya
unnatural/violent death for men,talii
unnatural/violent death for women,liibun
unpleasant to do,-ru
unpleasant to eat,diiha-diikha
unproductive (land),chankha-dikha
unroll,karpya
unroot,sii
unselfish,kobya
unsteadily,riili-riili
untidily,pabyapa
untie a knot,tapya
unwrap,berpya (Hi)/byarpya
unyielding,tunblun
up,ayo
upper,ayo
upper limb of a sacrificed animal,alii
upper lip,ayo nyachu
upper side/level/place,ayo
upper portion (of a wall or door),yarsi
uppermost paddy field (of a person's fields),gardin
uppermost,"(of a tree, pole, etc.)"
uproot grass or weeds,bin
uproot (esp. trees),byu
upupa epops,pagi yarii/pagi yaru
upward,-cha
urgent,tiinariikha
urine,si
urinate,si
us,ngunumi
use,piigo
use (some,of an object or quantity for another purpose)
use(d) to [do],-lya
usefulness,niidu
useless (thing),piigo amanii
utensil,miinii-nanii/miina-nanii
uterine nephew (term of address),ya
uterine nephew (term of reference),ohobo
uttering speech while asleep,lumu
uvula,lyirotoko
vacate a place,dahi
vacate a place,duhi
vagina,atu
valley,pabu
vanquish,miimin
vapour,hapin
varied,ponge-ponge
variety,lyo-
"vast (bamboo grove, garden)",ngoro
vast (piece of land),poro
vast (rice field),garro
vast (piece of land),poro
vegetables (green),haman/haman sanii
vegetation,sanii-sanko/sanii-sankho
vehicle,gari*
vehicle (esp. two wheeler vehicle),paji*
vein,aro
velvet plant (gymnura bicolor),ngiiyi rorin
vengeance,miiliniin
venom,kiimi
vertiginous,jinku sumu
vicinity,arun
"view (idea, opinion)",henkaniin
village,lemba
villager,lemba miyu
violet,-khe
virtuous,hendi
visible trace of an act,miigun
visit,kate
viverra indica/viverra zibetha,sillii
volume,ta-
vomit,ba
voracious,diiga
vow,hemme
vulture,piigin
vulv,atu
wade through water or mud,lye
wag (tail),liki-liko
wage for hiring a *patan to work on one's fields,patan ajo
wages,injo-miijo
waist,khiipo
waist (of females),biyan tiigya
waist (of males),au giigya
wait!,holyayola
wait (in ambush),tulya
wake,miihu
walk (with faltering step),kolya
walk out,dalin
walking stick,in-nanii
wallcreeper (tichodroma muraria),jojo ropo
walnut (juglans regia),hiiho sanii
wander,ngo
want to do,-nan
warm,gubu
warm (result),-gu
warm (oneself),hi
warmly comfortable,gubu giiba
wart,tarsii
was/were [do]ing (1st pers. sing.),-ladoto
"was/were [do]ing (2nd, 3rd pers. sing.)",-ladone
wash,harto
wash (body),harsu (Hi)/hasu
wash (clothes),nu
wash (feet),liipi
wash (hands),yasii
wash out something by splashing liquid on it,pyase
waste something unintentionally,miibi
waste materials,kacho tanii
waste product of locally made millet beer,poi
wastefully,-bi
watch,gori*
watch,ka
watch it!,kabiidolatiika ah!
water,yasi
watery (beverage/food),sarsii
water beetle (variety),"yasi anii (Ha, Bu, Hi)/tasi anii (Ho)/tasi nanii"
water beetle larva,lyebe
water bird,yasi paje
water bubble,pari papu
water buffalo (bubalus bubalis),mendii
water canal,bogo/yasi bogo
water hyacinth (eichhomia crassipes),yasi-yaru
water scorpion,khange-lyange
water strider,taker (Ha)/sukun-sankhii
waterside,siilyo
wave,lando poniin
"wave (stick, sword)",kiijer
wave (at someone to get attention),hoye
wave/flow in upward direction,lyancha
waver,ja
wavering,janiin
wax (ear),ruhi/yaru-ruhi
way of living,sanju
way of talking,luju
we (pl.),ngunu
we (dl.),ngiinyi
weak,hiju
wealthy,mingo
wear out,-mii
wear out (clothing),giimii
wear out (clothing),bya
wear simple clothing,giijo-giimyo
weave,chin
weave (cane or flattened bamboo),leko
weaving,chinniin
weaving tool on which a woven cloth is wound in a loom,gorchi-nanii
"weave bamboo splits, esp. in a criss-cross way",be
web (of spider),rimi tasun/rimbi dansun
wedding (large),datu mida/datii mida/santii siipa
wedding (ordinary),dachi mida/tama siipa
wedding (small),konchi mida/peja siipa
wedged (result),-ni
weed (of paddy fields),aru
weed (other),tami
weed (extirpate weeds),aru mii
weedy (field),biiyo
weep,khe
weight,ayi/ayi-aju
well,sukun
well entrance,sukun piitin
west,larin
west facing side,myolyi
"wet (cooked rice, containing a lot of water)",jeje
what!,nii te
what?,nii?
what a...!,niitan
what about,no
what for,nii...pa
what if?,koda no
what is it?,niina si?
what sort,niitan
what sort/kind of,niika
wheel,paji* ali
when (in the future),niida
when (in the past),niido
where from,nohokii
while moving,-jo
whip,hi
whirlpool,yasi harkhii
whisper,budu-budu lu
whisper something secretly to someone,lusi
whistling,nonniin/alyi nonniin
whistle (in a leaf in order to lure an animal),dingyo
white,pulu
white (complexion),yapu
white (esp. of pig skin),khapu
white (esp. of animal fur/skin),tapu
white (of an egg),papu alyo
white hair,dimpu
white hoarypea (tephrosia candida),imli*
white wagtail (motacilla alba),aji pai
who,hu
who (among them/these/those),hubo
who (among you/they/them),hutii
whom,humi
whooping cough,satu sarin
why,"niimpa (Ha,Bu)/niimop (Hi)/niitepa"
wide (road),byaro
widow,hiimi
widower,tinbo
wield,jidin
wide (land),poro
widen,miiro
wife,mihi
wife's brother,atobo
wife's brother's son,atobo
wife's sister's husband (term of reference),barbo-lyibo
wife's sister's son,atobo
wife's relatives,nyimii nyanii
wiggle (in the mud),rabe/rabe-ralyi
wild animals,siidin-siire
wild banana tree,kulu
wild banana leaf,kulu anii
wild cherry,semo/sembo
wild creeper (variety),jojuru/jojiru
wild game,siidin-siire
wild karanda (carissa spinarum),jinke-jilin
wild kiwi (actinidia sp.),entii tari sanii
wild kiwi fruit,entii tari ahi
wild pear-tree (pyrus pashia),piita sanii
wild pig (sus scrofa sp.),siire
wild sesame (perilla frutescens.),tanin
wild taro/yam,yaru
will be [do]ing,-ladokindo
will have been [do]ing,-ladokindoku
win,-min
win a victory over,miimin
wind,alyi
windstorm,alyi aro
wind yarn/thread into a ball by means of a spinning wheel,alin
wing,ale
wink,miye
winnower made of bamboo or cane framework,yapyo
winter melon (benincasa hispida),kumra*
wire (esp. metallic),sosin
wish (to do),-nan
wish for,hembyo
with (by means of),lo
with discernment,-cher
with gusto,-ji
with one's eyes open,kiila-kiila
witness in loans,narbonii
womb,niimin
woman,nyimii
women tresses bundled and rolled into a ball on the top of the head,dilin
wood (esp. firewood),yasan
wood louse,nyoko tati
woodthat is undried or unfit for burning purpose,yasan sale
wood splinter,yakho
wood wasp,tagyan/tagya
wooden beam,jombii
wooden board used for draining rice while cooking,hurta
wooden logs used as border around the fireplace,piirii
wooden lock of a door,arkonanii
wooden meat tray,yo sampya
wooden mortar used to grind rice and millet,yaper
wooden plank,santa
wooden slab or flatten bamboo split,pata
woodlice,tuke tabyo
woodpecker,tarsin
woody vine,sanii taro
"work (soil, field) with a hoe",o
work/task (yet to be done),miigo
work/study (yet to be done),rigo
working group comprising farmers having their fields in the same area,aji lenda
working group comprising farmers having their bamboo and pine groves in the same area,bije
worm (generic),tiyo
worn out,-mii
worn out,"rengii (Ha,Hi)/renge"
worthy,gordu
would,-tii
would not be able to do,-ladiima
wow!,oha
wrap,apu
wrestling,neniin
wriggle,kosi-kolyi
wriggle (in the mud),rabe/rabe-ralyi
wrist,lange (Ha)/langer (Hi)/langa
write (again/re-write),keti
write (for someone),kebi
write (in a casual way),kemin-keyin
write (in advance),kemyo
write (on someone else's behalf),kebi
write (some more),kebyan
write (till completion),kenye
writing,keniin
writing board,keta
writing utensil,kena-nanii
wrongdoing,miigya-lugya
wrongly,-gya
xanthoxylum sp.,sanii tero/santu tero
yak (bos grunniens),uyi subu
yarn thread,tano horto
yawn,gehe
year (last),biinyan
year (next),diirada
year (this),siinyan
year before last,konyan
year after next,lonyada
yearn (after),hembyo
yeast-like substance used for the fermentation of rice and millet beer,ipyo
yell,gyu
yell,gyuniin
yellowish,pilan-pisan
yes,iin
yesterday,biilyo
yesterday evening,biilyin
yesterday morning,biiro
yesterday night,biiyo
yolk,hayan
you (dl.),niinyi
you (pl.),nunu
you (sg. obj.),niimi
you (pl. obj.),nunumi
you can,-tiika/tiikan
you cannot/you should not,-yoka
you should,-tiika/-tiikan
young,ajan
young (mithun or cow),siido
young man,yapa
younger brother,buru
young lady,nyimun
young people,nyimun yapa
younger sister (male speaking),barmii
youngster,hime
your (sg.),niika
your (pl.),nunuka
yours (sg.),nukii
yours (pl.),nunukii
yourself,nosu
youth,nyimun yapa
zanthoxylum sp.,sanii tero
